date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:23	21200/21200	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Feb%202021%2006:45:20%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html	(from )
12:15:25	1002/1002	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Feb%202021%2006:45:24%20GMT	https://p.w3layouts.com/robots.txt		(from )
12:15:27	178152/178152	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/css/bootstrap.css	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/css/bootstrap.css	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:15:27	30019/30019	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/css/style.css	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/css/style.css	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:15:30	3292/3292	---MC-	200	added ('OK')	text/css	date:Mon,%2001%20Feb%202021%2006:45:30%20GMT	http://fonts.googleapis.com/css?family=Poppins:100,100i,200,200i,300,300i,400,400i,500,500i,600,600i,700,700i,800,800i,900,900i&subset=devanagari,latin-ext	/home/prasanna/websites/ajapro/fonts.googleapis.com/cssd36c.css	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:15:30	31000/31000	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/css/font-awesome.min.css	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/css/font-awesome.min.css	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:15:32	62025/62025	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263463f714e5303e30c3d68d0d0e0639a%22	http://m.servedby-buysellads.com/monetization.js	/home/prasanna/websites/ajapro/m.servedby-buysellads.com/monetization.js	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:15:33	24793/24793	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2008%20Oct%202019%2013:27:18%20GMT	https://p.w3layouts.com/js/autotrack.js	/home/prasanna/websites/ajapro/p.w3layouts.com/js/autotrack.js	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:15:34	31000/31000	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Jan%202021%2016:54:58%20GMT	https://p.w3layouts.com/assests/css/font-awesome.min.css	/home/prasanna/websites/ajapro/p.w3layouts.com/assests/css/font-awesome.min.css	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:15:35	22253/22253	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Feb%202021%2006:45:33%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/about.html	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/about.html	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:15:36	15865/15865	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Feb%202021%2006:45:34%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/pricing.html	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/pricing.html	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:15:37	16652/16652	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Feb%202021%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/faq.html	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/faq.html	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:15:38	13659/13659	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Feb%202021%2006:45:36%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/404.html	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/404.html	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:15:39	15544/15544	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Feb%202021%2006:45:37%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/contact.html	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/contact.html	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:15:40	3262/3262	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/shape1.png	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/shape1.png	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:15:41	3402/3402	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/shape2.png	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/shape2.png	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:15:42	3509/3509	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/shape3.png	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/shape3.png	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
12:15:43	3506/3506	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/shape5.png	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/shape5.png	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/index.html)
